Machine ,"Reason
Remarks",Date Label,"Attended
By","Duration
Log >> Close/Now",Production or Process Defect?
50,0,3,15,12,0
66,0,3,15,13,0
50,0,3,15,5,0
62,3,3,15,21,1
8,4,3,9,22,1
60,3,3,15,1,1
32,0,3,15,23,0
18,0,3,15,25,0
15,0,3,22,16,0
64,4,0,15,11,1
13,3,0,22,14,1
1,1,0,25,12,0
66,1,0,3,9,0
16,4,0,25,11,1
8,0,0,16,20,0
69,1,0,19,7,0
62,1,0,3,19,0
13,4,0,25,22,1
36,0,0,7,3,0
53,3,0,10,13,1
63,1,0,19,10,0
56,3,0,19,8,1
21,4,0,25,7,1
52,3,0,10,6,1
38,1,0,3,7,0
46,4,0,10,15,1
28,1,0,19,13,0
63,3,0,10,13,1
21,0,0,25,13,0
42,1,0,19,21,0
25,3,0,19,19,1
53,1,0,10,11,0
46,1,1,19,23,0
16,0,1,25,11,0
2,0,2,9,7,0
62,0,2,11,10,0
12,0,2,15,6,0
56,1,2,11,17,0
50,0,2,11,4,0
43,3,2,21,10,1
10,0,2,9,14,0
39,0,2,21,23,0
55,0,2,11,3,0
39,4,2,21,9,1
14,1,2,15,8,0
8,0,2,9,2,0
14,1,2,9,23,0
42,1,3,15,5,0
43,0,3,15,18,0
17,0,3,5,12,0
66,0,3,15,6,0
68,1,3,15,26,0
42,0,3,21,11,0
5,0,3,9,8,0
23,0,3,15,7,0
68,4,3,15,9,1
63,1,3,15,15,0
61,1,3,15,16,0
29,0,0,8,12,0
16,4,0,25,17,1
11,0,0,16,18,0
19,4,0,25,23,1
37,4,0,8,9,1
62,4,0,2,7,1
42,3,0,10,16,1
56,0,0,10,10,0
14,1,0,25,14,0
59,4,0,10,16,1
16,1,0,25,38,0
47,1,0,2,6,0
6,1,0,16,11,0
4,0,0,16,6,0
46,0,0,10,28,0
47,0,0,7,21,0
30,0,1,8,18,0
4,0,1,25,53,0
44,0,1,7,6,0
8,0,1,25,6,0
26,1,1,8,13,0
11,4,1,16,16,1
23,3,1,25,17,1
23,0,1,25,23,0
8,3,1,25,15,1
7,1,1,25,17,0
44,0,1,7,21,0
56,0,1,10,12,0
41,0,2,8,13,0
48,1,2,20,54,0
9,1,2,14,45,0
56,0,2,12,10,0
58,3,2,12,9,1
47,0,2,23,21,0
15,0,2,4,13,0
48,1,2,12,10,0
43,1,2,12,8,0
34,0,2,19,27,0
7,0,2,14,12,0
56,3,2,12,15,1
54,0,2,23,7,0
3,3,2,14,19,1
21,1,2,4,13,0
23,0,2,4,8,0
66,1,2,20,14,0
31,1,2,19,5,0
62,0,2,20,4,0
60,0,2,20,2,0
51,3,2,20,6,1
44,1,3,23,11,0
2,0,3,14,7,0
42,0,3,23,13,0
53,3,3,12,30,1
42,1,3,23,28,0
8,3,3,14,48,1
52,0,3,12,22,0
33,0,3,19,8,0
11,0,3,4,24,0
33,0,3,19,26,0
54,3,3,12,8,1
5,1,3,19,13,0
50,0,3,12,21,0
63,4,3,20,33,1
62,4,3,20,20,1
50,4,3,12,3,1
27,0,3,19,16,0
62,4,3,12,14,1
33,0,0,8,18,0
8,0,0,16,23,0
57,0,0,10,38,0
41,1,0,8,15,0
35,1,0,8,13,0
38,1,0,8,17,0
46,1,0,8,14,0
56,1,0,10,22,0
30,0,0,8,5,0
25,0,1,10,10,0
43,1,1,17,9,0
23,3,1,25,13,1
23,3,1,25,38,1
